Company Name,Location,Email,Products/Services,Custom Message,Email Status,
Tata Consultancy Services (TCS),Mumbai,info@tcs.com,"IT services, consulting","""We offer innovative solutions to help you succeed!""",Pending,
Tata Consultancy Services (TCS),Mumbai,info@tcs.com,"IT services, consulting","""We offer innovative solutions to help you succeed!""",Pending,
Infosys,Bengaluru,contact@infosys.com,"IT services, consulting","""Join us in transforming the digital world!""",Pending,
Wipro,Hyderabad,support@wipro.com,"IT services, cloud solutions","""Explore the future of technology with Wipro!""",Pending,
Reliance Industries,Mumbai,info@reliance.com,"Retail, telecommunications","""Discover new business opportunities with us!""",Pending,
HCL Technologies,Noida,hello@hcl.com,"IT services, software","""Empowering enterprises with cutting-edge solutions!""",Pending,
Mahindra Group,Pune,sales@mahindra.com,"Automobiles, agriculture","""Driving innovation and sustainability!""",Pending,
Larsen & Toubro (L&T),Mumbai,info@lt.com,"Engineering, construction","""Building the infrastructure of tomorrow.""",Pending, 
Bajaj Finserv,Pune,support@bajajfinserv.in,"Financial services, insurance","""Helping you achieve financial security and growth.""",Pending,
Adani Group,Ahmedabad,contact@adani.com,"Infrastructure, energy","""Leading the way in infrastructure and energy.""",Pending,
Biocon,Bengaluru,info@biocon.com,"Pharmaceuticals, biotechnology","""Innovating for healthier futures!""",Pending,
Godrej Group,Mumbai,info@godrej.com,"Consumer goods, appliances","""Creating innovative products for a sustainable future.""",Pending,
ICICI Bank,Mumbai,support@icicibank.com,"Banking, Financial services","""Empowering your financial future with ICICI Bank.""",Pending,
Bharti Airtel,Gurgaon,customercare@airtel.in,Telecom services,"""Stay connected with Bharti Airtel for superior services.""",Pending,
Dabur,Ghaziabad,info@dabur.com,"FMCG, healthcare products","""Wellness and beauty with Dabur products.""",Pending,
Maruti Suzuki,New Delhi,customer@maruti.co.in,"Automotive, cars","""Drive innovation and quality with Maruti Suzuki.""",Pending,
HDFC Bank,Mumbai,info@hdfcbank.com,"Banking, Financial services","""Banking with HDFC for a better tomorrow.""",Pending,
UltraTech Cement,Mumbai,info@ultratechcement.com,"Cement, building materials","""Building a stronger India, one block at a time.""",Pending,
Piramal Enterprises,Mumbai,contact@piramal.com,"Healthcare, real estate","""Pioneering healthcare solutions for a better future.""",Pending,
Asian Paints,Mumbai,info@asianpaints.com,"Paints, coatings","""Innovating colors for your perfect home.""",Pending,
Zomato,Gurugram,support@zomato.com,"Food delivery, restaurant tech","""Delivering happiness, one meal at a time!""",Pending,
Shree Cement,Kolkata,info@shreecement.com,"Cement, building materials","""Building lasting foundations with Shree Cement.""",Pending,
Tech Mahindra,Pune,contact@techmahindra.com,"IT services, consulting","""Transforming business with innovative technology.""",Pending,
OYO,Gurugram,support@oyorooms.com,"Hospitality, hotel services","""Experience luxury with OYO's premium offerings.""",Pending,
Axis Bank,Mumbai,contactus@axisbank.com,"Banking, Financial services","""Bank with Axis, experience excellence.""",Pending,
Lenskart,New Delhi,support@lenskart.com,"Eyewear, optical products","""See the world clearly with Lenskart eyewear.""",Pending,
